id,client_id,card_brand,card_type,card_number,cvv,has_chip,num_cards_issued,acct_open_date,card_on_dark_web,credit_limit_int,year_pin_last_changed,expires
4524,825,Visa,Debit,4344676511950444,623,YES,2,09/2002,No,24295,2008-01-01,2022-12-01
2731,825,Visa,Debit,4956965974959986,393,YES,2,04/2014,No,21968,2014-01-01,2020-12-01
3701,825,Visa,Debit,4582313478255491,719,YES,2,07/2003,No,46414,2004-01-01,2024-02-01
42,825,Visa,Credit,4879494103069057,693,NO,1,01/2003,No,12400,2012-01-01,2024-08-01
4659,825,Mastercard,"Debit (Prepaid)",5722874738736011,75,YES,1,09/2008,No,28,2009-01-01,2009-03-01
4537,1746,Visa,Credit,4404898874682993,736,YES,1,09/2003,No,27500,2012-01-01,2003-09-01
1278,1746,Visa,Debit,4001482973848631,972,YES,2,02/2011,No,28508,2011-01-01,2022-07-01
3687,1746,Mastercard,Debit,5627220683410948,48,YES,2,07/2003,No,9022,2015-01-01,2022-06-01
3465,1746,Mastercard,"Debit (Prepaid)",5711382187309326,722,YES,2,06/2010,No,54,2015-01-01,2020-11-01
3754,1746,Mastercard,"Debit (Prepaid)",5766121508358701,908,YES,1,07/2006,No,99,2012-01-01,2023-02-01
5144,1718,Mastercard,Debit,5495199163052054,677,YES,2,10/2009,No,31599,2009-01-01,2022-03-01
2029,1718,Mastercard,Debit,5804499644308599,258,NO,2,03/2002,No,27480,2008-01-01,2023-07-01
2379,1718,Mastercard,Debit,5766352389579834,992,YES,1,03/2019,No,26743,2019-01-01,2020-02-01
2732,1718,Visa,Debit,4242015583697294,928,YES,1,04/2014,No,31463,2014-01-01,2020-06-01
4706,1718,Mastercard,Debit,5191030913182493,360,YES,1,09/2009,No,16055,2009-01-01,2024-06-01
281,708,Visa,Credit,4017261190134817,877,YES,2,01/2011,No,98100,2011-01-01,2015-05-01
1106,708,Mastercard,"Debit (Prepaid)",5581970288727991,448,YES,1,02/2007,No,62,2007-01-01,2020-06-01
5621,708,Visa,Debit,4032240655674503,53,YES,1,11/2010,No,132439,2011-01-01,2022-06-01
5165,708,Visa,Debit,4935974646456357,649,YES,1,10/2009,No,125723,2010-01-01,2020-06-01
5757,1164,Mastercard,Debit,5905027855347659,886,YES,1,12/1999,No,34900,2012-01-01,2022-01-01
27,68,Visa,Credit,4099623033306950,74,YES,2,01/2002,No,9900,2019-01-01,2021-09-01
4648,68,Visa,Debit,4281200324251212,865,YES,2,09/2007,No,21587,2007-01-01,2013-07-01
5435,68,Visa,Credit,4411456925570768,922,YES,2,11/2005,No,15800,2011-01-01,2022-11-01
3287,1075,Mastercard,Debit,5202477865497336,861,YES,1,06/2005,No,29964,2014-01-01,2022-04-01
4761,1075,Mastercard,Credit,5089768442116305,686,YES,2,09/2010,No,11200,2010-01-01,2023-07-01
5286,1075,Mastercard,Debit,5767339719294372,669,NO,2,10/2014,No,26753,2014-01-01,2021-12-01
744,1711,Visa,Debit,4595831603224644,689,NO,2,01/2020,No,17480,2020-01-01,2023-05-01
5559,1116,Mastercard,Debit,5341049613275152,396,YES,2,11/2009,No,26546,2009-01-01,2021-09-01
4905,1116,Mastercard,Debit,5668831527649353,356,YES,1,09/2017,No,23253,2017-01-01,2021-01-01
79,1116,Visa,Credit,4400056931148232,497,YES,1,01/2005,No,16100,2014-01-01,2021-02-01
301,1116,Visa,Credit,4808554251869440,921,YES,2,01/2012,No,8700,2012-01-01,2021-02-01
3115,1116,Mastercard,Debit,5224739362243611,922,YES,1,05/2012,No,29333,2012-01-01,2019-01-01
3880,1752,Mastercard,Debit,5294178176133532,265,YES,2,07/2009,No,9496,2012-01-01,2024-07-01
1766,192,Visa,Debit,4857799018106614,930,YES,1,02/2020,No,25499,2020-01-01,2021-07-01
1767,192,Visa,Debit,4324062360619923,358,YES,1,02/2020,No,18641,2020-01-01,2020-02-01
745,640,Visa,Debit,4852639114720724,995,YES,1,01/2020,No,26019,2020-01-01,2023-05-01
1459,1679,Mastercard,Debit,5656383455895230,547,YES,1,02/2020,No,25845,2020-01-01,2021-01-01
138,1094,Visa,Debit,4556928160477229,64,YES,2,01/2007,No,2365,2009-01-01,2023-06-01
3755,1094,Mastercard,Debit,5515782790823587,419,YES,2,07/2006,No,18684,2017-01-01,2023-06-01
1768,1094,Visa,Credit,4508388296516458,364,NO,2,02/2020,No,7400,2020-01-01,2021-02-01
5924,1590,Mastercard,Debit,5548265564669334,145,YES,2,12/2008,No,4147,2016-01-01,2024-12-01
6074,1660,Visa,"Debit (Prepaid)",4986270376099447,385,YES,1,12/2012,No,76,2012-01-01,2022-04-01
